start_station_name,member_casual,number_of_rides
Elston Ave & Henderson St,casual,471
Elston Ave & Henderson St,member,435
Elston Ave & Wabansia Ave,casual,1502
Elston Ave & Wabansia Ave,member,2008
Emerald Ave & 28th St,casual,584
Emerald Ave & 28th St,member,2363
Emerald Ave & 31st St,casual,1294
Emerald Ave & 31st St,member,5625
Emerald Ave & 43rd St,casual,11
Emerald Ave & 43rd St,member,2
Emerald Ave & 45th St,member,5
Evans Ave & 63rd St,member,5
Evans Ave & 75th St,casual,99
Evans Ave & 75th St,member,208
Evanston Civic Center,casual,678
Evanston Civic Center,member,713
Ewing Ave & 101st St,casual,1
Ewing Ave & 101st St,member,4
Ewing Ave & 105th St,casual,5
Ewing Ave & 105th St,member,2
Ewing Ave & 106th St,casual,8
Ewing Ave & 106th St,member,2
Ewing Ave & 112th St,casual,4
Ewing Ave & 96th St,casual,6
Ewing Ave & 96th St,member,1
Ewing Ave & 99th St,casual,1
Ewing Ave & Burnham Greenway,casual,296
Ewing Ave & Burnham Greenway,member,424
Ewing Ave & Indianapolis Ave,casual,2
Exchange Ave & 79th St,casual,125
Exchange Ave & 79th St,member,166
Fairbanks Ct & Grand Ave,casual,8324
Fairbanks Ct & Grand Ave,member,11819
Fairbanks St & Superior St,casual,2847
Fairbanks St & Superior St,member,5663
Fairfield Ave & 44th St,casual,176
Fairfield Ave & 44th St,member,52
Fairfield Ave & Roosevelt Rd,casual,252
Fairfield Ave & Roosevelt Rd,member,239
Federal St & Polk St,casual,6840
Federal St & Polk St,member,11812
Field Blvd & South Water St,casual,6244
Field Blvd & South Water St,member,6789
Field Museum,casual,8015
Field Museum,member,1953
Financial Pl & Ida B Wells Dr,casual,2772
Financial Pl & Ida B Wells Dr,member,6701
Forrestville Ave & 47th St,casual,7
Forrestville Ave & 47th St,member,5
Fort Dearborn Dr & 31st St,casual,4583
Fort Dearborn Dr & 31st St,member,4389
Francisco Ave & 47th St,casual,154
Francisco Ave & 47th St,member,47
Francisco Ave & Bloomingdale Ave,casual,471
Francisco Ave & Bloomingdale Ave,member,627
Francisco Ave & Chicago Ave,casual,1
Francisco Ave & Chicago Ave,member,1
Francisco Ave & Foster Ave,casual,896
Francisco Ave & Foster Ave,member,1752
Francisco Ave & Hollywood Ave,casual,76
Francisco Ave & Hollywood Ave,member,42
Francisco Ave & Montrose Ave,casual,744
Francisco Ave & Montrose Ave,member,933
Franklin St & Adams St (Temp),casual,3322
Franklin St & Adams St (Temp),member,7019
Franklin St & Chicago Ave,casual,5658
Franklin St & Chicago Ave,member,11476
Franklin St & Illinois St,casual,5435
Franklin St & Illinois St,member,8972
Franklin St & Jackson Blvd,casual,6434
Franklin St & Jackson Blvd,member,11194
Franklin St & Lake St,casual,4916
Franklin St & Lake St,member,11428
Franklin St & Monroe St,casual,3988
Franklin St & Monroe St,member,11793
Fullerton & Monitor,casual,224
Fullerton & Monitor,member,107
Glenwood Ave & Morse Ave,casual,1800
Glenwood Ave & Morse Ave,member,3203
Glenwood Ave & Touhy Ave,casual,756
Glenwood Ave & Touhy Ave,member,1580
Grand Ave & North Ave,casual,12
Grand Ave & North Ave,member,1
Green St & 103rd St,casual,7
Green St & 103rd St,member,1
Green St & Madison Ave*,casual,97
Green St & Madison Ave*,member,386
Green St & Madison St,casual,8156
Green St & Madison St,member,15299
Green St & Randolph St,casual,1329
Green St & Randolph St,member,1544
Green St & Randolph St*,casual,4990
Green St & Randolph St*,member,6131
Green St & Washington Blvd,casual,2059
Green St & Washington Blvd,member,3546
Greenview Ave & Diversey Pkwy,casual,3182
Greenview Ave & Diversey Pkwy,member,4269
Greenview Ave & Fullerton Ave,casual,5468
Greenview Ave & Fullerton Ave,member,8137
Greenview Ave & Jarvis Ave,casual,1416
Greenview Ave & Jarvis Ave,member,2386
Greenwood Ave & 47th St,casual,880
Greenwood Ave & 47th St,member,1635
Greenwood Ave & 79th St,casual,102
Greenwood Ave & 79th St,member,40
Greenwood Ave & 87th St,casual,1
Greenwood Ave & 91st St,casual,99
Greenwood Ave & 91st St,member,40
Greenwood Ave & 97th St,casual,65
Greenwood Ave & 97th St,member,140
Greenwood Ave & Lake Park Ave,casual,8
Greenwood Ave & Lake Park Ave,member,20
Hale Ave & 107th St,casual,159
Hale Ave & 107th St,member,78
Hale Ave & 111th St,casual,1
Hale Ave & 111th St,member,1
Halsted & 63rd - Kennedy-King Vaccination Site,casual,184
Halsted & 63rd - Kennedy-King Vaccination Site,member,100
Halsted St & 102nd St,casual,3
Halsted St & 102nd St,member,1
Halsted St & 104th St,casual,84
Halsted St & 104th St,member,70
Halsted St & 111th St,casual,86
Halsted St & 111th St,member,81
Halsted St & 18th St,casual,1453
Halsted St & 18th St,member,2685
Halsted St & 21st St,casual,932
Halsted St & 21st St,member,1372
Halsted St & 35th St,casual,945
Halsted St & 35th St,member,2152
Halsted St & 37th St,casual,194
Halsted St & 37th St,member,306
Halsted St & 41st St,casual,4
Halsted St & 47th Pl,casual,212
Halsted St & 47th Pl,member,211
Halsted St & 51st St,casual,112
Halsted St & 51st St,member,247
Halsted St & 56th St,casual,82
Halsted St & 56th St,member,59
Halsted St & 59th St,casual,42
Halsted St & 59th St,member,27
Halsted St & 63rd St,casual,88
Halsted St & 63rd St,member,60
Halsted St & 64th St,casual,2
Halsted St & 64th St,member,4
Halsted St & 69th St,casual,73
Halsted St & 69th St,member,47
Halsted St & 73rd St,casual,72
Halsted St & 73rd St,member,101
Halsted St & 76th St,casual,16
Halsted St & 76th St,member,4
Halsted St & 78th St,casual,171
Halsted St & 78th St,member,66
Halsted St & 80th St,casual,13
Halsted St & 94th St,casual,10
Halsted St & 95th St - SE,casual,7
Halsted St & 95th St - SW,casual,4
Halsted St & 95th St - SW,member,1
Halsted St & 96th St,casual,131
Halsted St & 96th St,member,254
Halsted St & Archer Ave,casual,1193
Halsted St & Archer Ave,member,1686
Halsted St & Clybourn Ave,casual,7935
Halsted St & Clybourn Ave,member,14691
Halsted St & Dickens Ave,casual,7122
Halsted St & Dickens Ave,member,10462
Halsted St & Fulton St,casual,378
Halsted St & Fulton St,member,836
Halsted St & Maxwell St,casual,3591
Halsted St & Maxwell St,member,7626
Halsted St & North Branch St,casual,759
Halsted St & North Branch St,member,1323
Halsted St & Polk St,casual,3067
Halsted St & Polk St,member,14540
Halsted St & Roosevelt Rd,casual,1979
Halsted St & Roosevelt Rd,member,6901
Halsted St & Roscoe St,casual,10137
Halsted St & Roscoe St,member,13039
Halsted St & Willow St,casual,3890
Halsted St & Willow St,member,8490
Halsted St & Wrightwood Ave,casual,8964
Halsted St & Wrightwood Ave,member,12758
Hamilton Ave & 95th St,casual,9
Hamilton Ave & 95th St,member,2
Hamilton Park,member,1
Hamlin Ave & 62nd Pl,casual,140
Hamlin Ave & 62nd Pl,member,100
Hamlin Ave & Chicago Ave,casual,6
Hamlin Ave & Chicago Ave,member,4
Hamlin Ave & Fullerton Ave,casual,50
Hamlin Ave & Fullerton Ave,member,31
Hamlin Ave & Grand Ave,casual,16
Hamlin Ave & Grand Ave,member,2
Hamlin Ave & Montrose Ave,casual,15
Hamlin Ave & Montrose Ave,member,31
Hampden Ct & Diversey Ave,casual,1643
Hampden Ct & Diversey Ave,member,2450
Harding Ave & 26th St,casual,177
Harding Ave & 26th St,member,99
Harding Ave & 47th St,casual,5
Harding Ave & 47th St,member,7
Harlem & Irving Park,casual,574
Harlem & Irving Park,member,186
Harlem Ave & Grace St,casual,63
Harlem Ave & Grace St,member,28
Harold Washington Park,casual,62
Harold Washington Park,member,54
Harper Ave & 59th St,casual,1153
Harper Ave & 59th St,member,4950
Harper Ave & 63rd St,casual,6
Harper Ave & 63rd St,member,7
Harriet E Sayre Public School,casual,7
Harriet E Sayre Public School,member,9
Harvard Ave & 103rd St,casual,9
Harvard Ave & 119th St,casual,3
Harvey Ave & North Ave,casual,4
Harvey Ave & North Ave,member,4
Hastings LWS,casual,11
Hastings LWS,member,56
Hegewisch Metra Station,casual,112
Hegewisch Metra Station,member,32
Hermitage Ave & Polk St,casual,1015
Hermitage Ave & Polk St,member,5073
Hiawatha Park,casual,8
Hiawatha Park,member,5
Homan Ave & 111th St,casual,14
Homan Ave & 26th St,casual,1
Homan Ave & 65th St,casual,138
Homan Ave & 65th St,member,26
Homan Ave & Fillmore St,casual,51
Homan Ave & Fillmore St,member,57
Homewood Ave & 115th St,casual,93
Homewood Ave & 115th St,member,92
Homewood Ave & Monterey Ave,casual,24
Homewood Ave & Monterey Ave,member,29
Honore St & 87th St - SE,casual,2
Honore St & Division St,casual,5493
Honore St & Division St,member,7399
Houston Ave & 91st St,casual,7
Houston Ave & 91st St,member,5
Houston Ave & 92nd St,casual,132
Houston Ave & 92nd St,member,51
Hoyne Ave & 110th Pl,casual,10
Hoyne Ave & 110th Pl,member,11
Hoyne Ave & 34th St,casual,102
Hoyne Ave & 34th St,member,90
Hoyne Ave & 47th St,casual,208
Hoyne Ave & 47th St,member,107
Hoyne Ave & Balmoral Ave,casual,996
Hoyne Ave & Balmoral Ave,member,1783
Humboldt Blvd & Armitage Ave,casual,2901
Humboldt Blvd & Armitage Ave,member,3034
Hyde Park Blvd & 53rd St,casual,75
Hyde Park Blvd & 53rd St,member,92
Hyde Park Blvd & 55th St,casual,133
Hyde Park Blvd & 55th St,member,138
Indiana Ave & 103rd St,casual,182
Indiana Ave & 103rd St,member,49
Indiana Ave & 133rd St,casual,20
Indiana Ave & 133rd St,member,4
Indiana Ave & 26th St,casual,841
Indiana Ave & 26th St,member,1970
Indiana Ave & 31st St,casual,795
Indiana Ave & 31st St,member,3451
Indiana Ave & 40th St,casual,280
Indiana Ave & 40th St,member,123
Indiana Ave & Roosevelt Rd,casual,14345
Indiana Ave & Roosevelt Rd,member,14137
Ingleside Ave & 79th St,casual,3
Ingleside Ave & 79th St,member,5
Jefferson St & Monroe St,casual,2789
Jefferson St & Monroe St,member,6592
Jeffery Blvd & 67th St,casual,467
Jeffery Blvd & 67th St,member,185
Jeffery Blvd & 71st St,casual,272
Jeffery Blvd & 71st St,member,289
Jeffery Blvd & 76th St,casual,125
Jeffery Blvd & 76th St,member,105
Jeffery Blvd & 83rd St,casual,2
Jeffery Blvd & 83rd St,member,2
Jeffrey Blvd & 71st St,casual,14
Jeffrey Blvd & 71st St,member,13
Jonathan Y Scammon Public School,casual,18
Jonathan Y Scammon Public School,member,5
Justine St & 87th St,casual,9
Justine St & 87th St,member,2
Karlov Ave & Kamerling Ave,casual,11
Karlov Ave & Kamerling Ave,member,8
Karlov Ave & Madison St,casual,113
Karlov Ave & Madison St,member,45
Karlov Ave & Milwaukee Ave,casual,1
Karlov Ave & Milwaukee Ave,member,3
Kedvale Ave & 63rd St,casual,11
Kedvale Ave & 63rd St,member,2
Kedvale Ave & Addison St,casual,4
Kedvale Ave & Addison St,member,1
Kedvale Ave & Avondale Ave,casual,11
Kedvale Ave & Avondale Ave,member,9
Kedzie & 103rd St - East,casual,3
Kedzie & 103rd St - West,casual,3
Kedzie & 103rd St - West,member,2
Kedzie Ave & 104th St,casual,83
Kedzie Ave & 110th St,casual,123
Kedzie Ave & 110th St,member,35
Kedzie Ave & 21st St,casual,365
Kedzie Ave & 21st St,member,277
Kedzie Ave & 24th St,casual,164
Kedzie Ave & 24th St,member,149
Kedzie Ave & 24th St (Temp),casual,1
Kedzie Ave & 24th St (Temp),member,2
Kedzie Ave & 45th St,casual,132
Kedzie Ave & 45th St,member,90
Kedzie Ave & 48th Pl,casual,947
Kedzie Ave & 48th Pl,member,461
Kedzie Ave & 52nd St,casual,157
Kedzie Ave & 52nd St,member,89
Kedzie Ave & 54th St - SE,casual,40
Kedzie Ave & 54th St - SE,member,21
Kedzie Ave & 54th St - SW,casual,34
Kedzie Ave & 54th St - SW,member,39
Kedzie Ave & 57th St,casual,391
Kedzie Ave & 57th St,member,184
Kedzie Ave & 58th St,casual,45
Kedzie Ave & 58th St,member,19
Kedzie Ave & 61st Pl,casual,60
Kedzie Ave & 61st Pl,member,35
Kedzie Ave & 63rd St,casual,26
Kedzie Ave & 63rd St,member,22
Kedzie Ave & 64th St - SE,casual,1
Kedzie Ave & 64th St - SE,member,4
Kedzie Ave & 64th St - SW,casual,15
Kedzie Ave & 64th St - SW,member,5
Kedzie Ave & Archer Ave,casual,17
Kedzie Ave & Archer Ave,member,14
Kedzie Ave & Argyle St,casual,6
Kedzie Ave & Argyle St,member,5
Kedzie Ave & Bryn Mawr Ave,casual,466
Kedzie Ave & Bryn Mawr Ave,member,640
Kedzie Ave & Chicago Ave,casual,398
Kedzie Ave & Chicago Ave,member,542
Kedzie Ave & Foster Ave,casual,665
Kedzie Ave & Foster Ave,member,666
Kedzie Ave & George St,casual,483
Kedzie Ave & George St,member,641
Kedzie Ave & Harrison St,casual,123
Kedzie Ave & Harrison St,member,90
Kedzie Ave & Lake St,casual,496
Kedzie Ave & Lake St,member,614
Kedzie Ave & Leland Ave,casual,721
Kedzie Ave & Leland Ave,member,1171
Kedzie Ave & Milwaukee Ave,casual,7525
Kedzie Ave & Milwaukee Ave,member,8103
Kedzie Ave & Palmer Ct,casual,2202
Kedzie Ave & Palmer Ct,member,2467
Kedzie Ave & Pershing Rd,casual,14
Kedzie Ave & Pershing Rd,member,8
Kedzie Ave & Roosevelt Rd,casual,244
Kedzie Ave & Roosevelt Rd,member,105
Keef Ave & South Chicago Ave,casual,1
Keeler Ave & 55th St,casual,2
Keeler Ave & Madison St,casual,4
Keeler Ave & Madison St,member,6
Keeler Ave & Roosevelt Rd,casual,52
Keeler Ave & Roosevelt Rd,member,5
Kenneth Ave & 50th St,casual,91
Kenneth Ave & 50th St,member,20
Kenneth Ave & 63rd St,casual,8
Kenneth Ave & 63rd St,member,4
Kenosha & Wellington,casual,268
Kenosha & Wellington,member,425
Kenton Ave & Madison St,casual,86
Kenton Ave & Madison St,member,46
Kenton Ave & Palmer St,casual,32
Kenton Ave & Palmer St,member,73
Keystone Ave & Fullerton Ave,casual,687
Keystone Ave & Fullerton Ave,member,761
Keystone Ave & Irving Park Rd,casual,18
Keystone Ave & Irving Park Rd,member,11
Keystone Ave & Montrose Ave,casual,525
Keystone Ave & Montrose Ave,member,772
Keystone Ave & North Ave,casual,28
Keystone Ave & North Ave,member,21
Kilbourn & Belden,casual,219
Kilbourn & Belden,member,64
Kilbourn & Roscoe,casual,357
Kilbourn & Roscoe,member,156
Kilbourn Ave & Fullerton Ave,casual,8
Kilbourn Ave & Fullerton Ave,member,2
Kilbourn Ave & Irving Park Rd,casual,308
Kilbourn Ave & Irving Park Rd,member,330
Kilbourn Ave & Milwaukee Ave,casual,251
Kilbourn Ave & Milwaukee Ave,member,228
Kildare & Cermak,casual,48
Kildare & Cermak,member,38
Kildare Ave & 26th St,casual,74
Kildare Ave & 26th St,member,14
Kildare Ave & 47th St,casual,98
Kildare Ave & 47th St,member,72
Kildare Ave & 55th St,casual,81
Kildare Ave & 55th St,member,24
Kildare Ave & 63rd St,casual,8
Kildare Ave & 63rd St,member,2
Kildare Ave & Chicago Ave,casual,32
Kildare Ave & Chicago Ave,member,17
Kildare Ave & Division Ave,member,2
Kildare Ave & Division St,casual,24
Kildare Ave & Division St,member,3
Kildare Ave & Montrose Ave,casual,429
Kildare Ave & Montrose Ave,member,561
Kildare Ave & Washignton Blvd,casual,4
Kilpatrick Ave & Grand Ave,casual,226
Kilpatrick Ave & Grand Ave,member,96
Kilpatrick Ave & Parker Ave,casual,356
Kilpatrick Ave & Parker Ave,member,301
Kimball Ave & Belmont Ave,casual,1415
Kimball Ave & Belmont Ave,member,1415
Kimball Ave & Carmen Ave,casual,9
Kimball Ave & Carmen Ave,member,9
Kimbark Ave & 53rd St,casual,5319
Kimbark Ave & 53rd St,member,12489
Kimbark Ave & 63rd St,casual,3
Kimbark Ave & 63rd St,member,3
Kimbark Ave & 67th St,casual,62
Kimbark Ave & 67th St,member,30
King Dr & 83rd St,casual,3
Kingsbury St & Erie St,casual,5740
Kingsbury St & Erie St,member,13030
Kingsbury St & Kinzie St,casual,9420
Kingsbury St & Kinzie St,member,25835
Knox Ave & Montrose Ave,casual,641
Knox Ave & Montrose Ave,member,906
Kolin Ave & Archer Ave,casual,15
Kolin Ave & Archer Ave,member,8
Komensky Ave & 31st St,casual,165
Komensky Ave & 31st St,member,117
Komensky Ave & 55th St,casual,130
Komensky Ave & 55th St,member,93
Komensky Ave & 59th St,casual,29
Komensky Ave & 59th St,member,16
Kosciuszko Park,casual,1408
Kosciuszko Park,member,1743
Kostner Ave & 63rd St,casual,138
Kostner Ave & 63rd St,member,36
Kostner Ave & Adams St,casual,63
Kostner Ave & Adams St,member,339
Kostner Ave & Armitage Ave,casual,219
Kostner Ave & Armitage Ave,member,139
Kostner Ave & Lake St,casual,94
Kostner Ave & Lake St,member,30
Kostner Ave & North Ave,casual,10
Kostner Ave & North Ave,member,2
Kostner Ave & Wrightwood Ave,casual,273
Kostner Ave & Wrightwood Ave,member,203
La Villita Park (Albany/30th),casual,74
La Villita Park (Albany/30th),member,12
LaSalle Dr & Huron St,casual,5251
LaSalle Dr & Huron St,member,7731
LaSalle St & Adams St,casual,2053
LaSalle St & Adams St,member,3133
LaSalle St & Illinois St,casual,11433
LaSalle St & Illinois St,member,14170
LaSalle St & Jackson Blvd,casual,4254
LaSalle St & Jackson Blvd,member,11017
LaSalle St & Washington St,casual,3065
LaSalle St & Washington St,member,6168
Lafayette Ave & 119th St,casual,5
Lafayette Ave & 87th St - NW,casual,4
Lafayette Ave & 87th St - NW,member,5
Lafayette Ave & 87th St - SW,casual,17
Lafayette Ave & 95th St,casual,97
Lafayette Ave & 95th St,member,35
Laflin St & 51st St,casual,1
Laflin St & 51st St,member,7
Laflin St & 79th St,casual,2
Laflin St & Cullerton St,casual,1376
Laflin St & Cullerton St,member,1897
Lake Park Ave & 35th St,casual,1376
Lake Park Ave & 35th St,member,1439
Lake Park Ave & 44th St,member,1
Lake Park Ave & 47th St,casual,1218
Lake Park Ave & 47th St,member,1496
Lake Park Ave & 53rd St,casual,3092
Lake Park Ave & 53rd St,member,4823
Lake Park Ave & 56th St,casual,2682
Lake Park Ave & 56th St,member,5495
Lakefront Trail & Bryn Mawr Ave,casual,6664
Lakefront Trail & Bryn Mawr Ave,member,7625
Lakefront Trail & Wilson Ave,casual,4514
Lakefront Trail & Wilson Ave,member,4845
Lakeview Ave & Fullerton Pkwy,casual,10490
Lakeview Ave & Fullerton Pkwy,member,12842
Lamon Ave & Archer Ave,casual,1
Lamon Ave & Armitage Ave,casual,265
Lamon Ave & Armitage Ave,member,69
Lamon Ave & Belmont Ave,casual,382
Lamon Ave & Belmont Ave,member,253
Lamon Ave & Chicago Ave,casual,99
Lamon Ave & Chicago Ave,member,47
Langley Ave & 105th Pl,member,8
Langley Ave & 79th St,casual,10
Langley Ave & 79th St,member,32
Laramie Ave & Belmont Ave,casual,11
Laramie Ave & Belmont Ave,member,15
Laramie Ave & Fullerton Ave,casual,28
Laramie Ave & Fullerton Ave,member,6
Laramie Ave & Gladys Ave,casual,72
Laramie Ave & Gladys Ave,member,25
Laramie Ave & Grand Ave,casual,10
Laramie Ave & Grand Ave,member,6
Laramie Ave & Kinzie St,casual,180
Laramie Ave & Kinzie St,member,87
Laramie Ave & Madison St,casual,152
Laramie Ave & Madison St,member,123
Laramie Ave & Warwick Ave,casual,3
Larrabee St & Armitage Ave,casual,3609
Larrabee St & Armitage Ave,member,5764
Larrabee St & Division St,casual,4435
Larrabee St & Division St,member,8165
Larrabee St & Kingsbury St,casual,4973
Larrabee St & Kingsbury St,member,15280
Larrabee St & Menomonee St,casual,1966
Larrabee St & Menomonee St,member,4112
Larrabee St & North Ave,casual,3179
Larrabee St & North Ave,member,4487
Larrabee St & Oak St,casual,2097
Larrabee St & Oak St,member,6071
Larrabee St & Webster Ave,casual,10900
Larrabee St & Webster Ave,member,12960
Latrobe Ave & Chicago Ave,casual,135
Latrobe Ave & Chicago Ave,member,64
Latrobe Ave & Lake St,casual,7
Latrobe Ave & Lake St,member,3
Lavergne & Fullerton,casual,391
Lavergne & Fullerton,member,143
Lavergne Ave & 46th St,casual,53
Lavergne Ave & Division St,casual,51
Lavergne Ave & Division St,member,29
Lawler Ave & 50th St,casual,276
Lawler Ave & 50th St,member,113
Lawndale Ave & 111th St,casual,186
Lawndale Ave & 111th St,member,25
Lawndale Ave & 16th St,casual,59
Lawndale Ave & 16th St,member,16
Lawndale Ave & 30th St,casual,198
Lawndale Ave & 30th St,member,57
Lawndale Ave & Diversey Ave,casual,26
Lawndale Ave & Diversey Ave,member,25
Lawndale Ave & Polk St,member,1
Lawrence Ave & 103rd St,casual,4
Lawrence Ave & 103rd St,member,2
Leamington Ave & Hirsch St,casual,89
Leamington Ave & Hirsch St,member,6
Leavitt St & Addison St,casual,1456
Leavitt St & Addison St,member,2061
Leavitt St & Archer Ave,casual,670
Leavitt St & Archer Ave,member,642
Leavitt St & Armitage Ave,casual,2542
Leavitt St & Armitage Ave,member,3479
Leavitt St & Belmont Ave,casual,2312
Leavitt St & Belmont Ave,member,2479
Leavitt St & Chicago Ave,casual,2223
Leavitt St & Chicago Ave,member,3115
Leavitt St & Division St,casual,2141
Leavitt St & Division St,member,3143
Leavitt St & Lawrence Ave,casual,1144
Leavitt St & Lawrence Ave,member,2160
Leavitt St & North Ave,casual,3231
Leavitt St & North Ave,member,4213
Legler Regional Library,casual,1
Lincoln Ave & Addison St,casual,1946
Lincoln Ave & Addison St,member,2188
Lincoln Ave & Balmoral Ave,casual,366
Lincoln Ave & Balmoral Ave,member,474
Lincoln Ave & Belle Plaine Ave,casual,2283
Lincoln Ave & Belle Plaine Ave,member,4043
Lincoln Ave & Belmont Ave,casual,534
Lincoln Ave & Belmont Ave,member,764
Lincoln Ave & Belmont Ave (Temp),casual,2966
Lincoln Ave & Belmont Ave (Temp),member,4700
Lincoln Ave & Byron St,casual,48
Lincoln Ave & Byron St,member,80
Lincoln Ave & Diversey Pkwy,casual,6050
Lincoln Ave & Diversey Pkwy,member,9709
Lincoln Ave & Fullerton Ave,casual,9562
Lincoln Ave & Fullerton Ave,member,13629
Lincoln Ave & Peterson Ave,casual,309
Lincoln Ave & Peterson Ave,member,250
Lincoln Ave & Roscoe St,casual,853
Lincoln Ave & Roscoe St,member,1177
Lincoln Ave & Roscoe St*,casual,3068
Lincoln Ave & Roscoe St*,member,5176
Lincoln Ave & Sunnyside Ave,casual,2430
Lincoln Ave & Sunnyside Ave,member,4122
Lincoln Ave & Waveland Ave,casual,2000
Lincoln Ave & Waveland Ave,member,3109
Lincoln Ave & Winona St,casual,1152
Lincoln Ave & Winona St,member,1758
Lincoln Park Conservatory,casual,7631
Lincoln Park Conservatory,member,5680
Lincolnwood Dr & Central St,casual,258
Lincolnwood Dr & Central St,member,372
Linder Ave & Belmont Ave,casual,2
Linder Ave & Belmont Ave,member,4
Lockwood Ave & Wrightwood Ave,casual,264
Lockwood Ave & Wrightwood Ave,member,505
Logan Blvd & Elston Ave,casual,2622
Logan Blvd & Elston Ave,member,4028
Long & Irving Park,casual,653
Long & Irving Park,member,413
Long Ave & Belden Ave,casual,174
Long Ave & Belden Ave,member,218
Long Ave & Belmont Ave,casual,236
Long Ave & Belmont Ave,member,138
Long Ave & North Ave,casual,72
Long Ave & North Ave,member,19
Longwood Dr & 111th St,casual,9
Longwood Dr & 111th St,member,5
Longwood Dr & 95th St,casual,4
Longwood Dr & 95th St,member,1
Loomis Blvd & 83rd St,casual,1
Loomis Blvd & 84th St,casual,71
Loomis Blvd & 84th St,member,95
Loomis St & 87th St,casual,4
Loomis St & 87th St,member,53
Loomis St & 89th St,casual,96
Loomis St & 89th St,member,48
Loomis St & Archer Ave,casual,609
Loomis St & Archer Ave,member,930
Loomis St & Jackson Blvd,casual,1728
Loomis St & Jackson Blvd,member,4811
Loomis St & Lexington St,casual,3285
Loomis St & Lexington St,member,20286
Loomis St & Lexington St*,casual,61
Loomis St & Lexington St*,member,494
Lorel Ave & Chicago Ave,casual,1
Lorel Ave & Chicago Ave,member,2
Lowe Ave & 98th St,casual,3
Lowe Park,casual,1
Lowe Park,member,1
Lowell Ave & Elston Ave,casual,29
Lowell Ave & Elston Ave,member,17
MLK Jr Dr & 29th St,casual,1895
MLK Jr Dr & 29th St,member,8159
MLK Jr Dr & 47th St,casual,342
MLK Jr Dr & 47th St,member,301
MLK Jr Dr & 56th St,casual,289
MLK Jr Dr & 56th St,member,222
MLK Jr Dr & 63rd St,casual,324
MLK Jr Dr & 63rd St,member,164
MLK Jr Dr & 83rd St,casual,69
MLK Jr Dr & 83rd St,member,95
MLK Jr Dr & Pershing Rd,casual,676
MLK Jr Dr & Pershing Rd,member,755
MTV Hubbard St,casual,190
MTV Hubbard St,member,667
Mackinaw Ave & 106th St,casual,8
Mackinaw Ave & 108th St,casual,8
Mackinaw Ave & 108th St,member,1
Mackinaw Ave & 85th St,member,1
Major Ave & Bloomingdale Ave,casual,87
Major Ave & Bloomingdale Ave,member,24
Major Taylor Trail & 115th St,casual,142
Major Taylor Trail & 115th St,member,70
Major Taylor Trail & 124th St,casual,89
Major Taylor Trail & 124th St,member,17
Malcolm X College,casual,252
Malcolm X College,member,576
Malcolm X College Vaccination Site,casual,589
Malcolm X College Vaccination Site,member,759
Manor Ave & Leland Ave,casual,690
Manor Ave & Leland Ave,member,1601
Maplewood Ave & 59th St,casual,89
Maplewood Ave & 59th St,member,20
Maplewood Ave & Peterson Ave,casual,363
Maplewood Ave & Peterson Ave,member,385
Marine Dr & Ainslie St,casual,3549
Marine Dr & Ainslie St,member,4589
Marquette Ave & 79th St,casual,30
Marquette Ave & 79th St,member,5
Marquette Ave & 83rd St,member,1
Marquette Ave & 89th St,casual,91
Marquette Ave & 89th St,member,49
Marshfield Ave & 44th St,casual,159
Marshfield Ave & 44th St,member,148
Marshfield Ave & 45th St,casual,5
Marshfield Ave & 45th St,member,6
Marshfield Ave & 59th St,casual,36
Marshfield Ave & 59th St,member,31
Marshfield Ave & 87th St,casual,8
Martin Luther King Dr & 111th St,casual,63
Martin Luther King Dr & 111th St,member,80
Martin Luther King Dr & 44th St,casual,7
Martin Luther King Dr & 44th St,member,5
Martin Luther King Dr & 69th St,casual,2
Martin Luther King Dr & 69th St,member,1
Maryland Ave & 104th St,casual,143
Maryland Ave & 104th St,member,150
Maryland Ave & 87th ST,casual,4
Maryland Ave & 87th ST,member,1
Mason Ave & Belmont Ave,casual,108
Mason Ave & Belmont Ave,member,32
Mason Ave & Roosevelt Rd,casual,9
May St & 63rd St,casual,2
May St & 69th St,casual,56
May St & 69th St,member,333
May St & 78th St,casual,1
May St & Cullerton St,casual,1144
May St & Cullerton St,member,1660
May St & Taylor St,casual,2780
May St & Taylor St,member,11649
Mayfield & Roosevelt Rd,casual,14
Mayfield & Roosevelt Rd,member,6
McClurg Ct & Erie St,casual,5509
McClurg Ct & Erie St,member,10543
McClurg Ct & Ohio St,casual,10295
McClurg Ct & Ohio St,member,12556
McCormick Blvd & Devon Ave,casual,2
McCormick Blvd & Devon Ave,member,3
McCormick Place,casual,4229
McCormick Place,member,2118
McVicker Ave & Grand Ave,casual,5
McVicker Ave & Grand Ave,member,1
Meade Ave & Addison St,casual,105
Meade Ave & Addison St,member,36
Meade Ave & Diversey Ave,casual,214
Meade Ave & Diversey Ave,member,114
Melvina Ave & Belmont Ave,casual,5
Menard Ave & Adams Blvd,casual,2
Menard Ave & Agusta Blvd,casual,7
Menard Ave & Agusta Blvd,member,3
Menard Ave & Belmont Ave,casual,4
Menard Ave & Belmont Ave,member,1
Menard Ave & Dakin St - midblock,casual,9
Menard Ave & Dakin St - midblock,member,4
Menard Ave & Division St,casual,41
Menard Ave & Division St,member,13
Menard Ave & Grand Ave,casual,8
